word,frequency
breaking,27
spanish,4
baring,1
stripp'd,3
hardly,41
swore,57
leap'd,4
citadel-,1
thirty,24
fathom,10
enemy's,8
recover'd,6
[alarum,9
within],27
throca,1
movousus,1
cargo,7
villianda,1
par,2
corbo,1
[they,69
blindfold,3
him],34
boskos,3
thromuldo,1
muskos',1
german,12
dane,9
dutch,3
discover,34
undo,31
vauvado,1
kerely-bonto,1
betake,10
seventeen,6
poniards,3
manka,1
revania,1
dulche,1
oscorbidulchos,1
volivorco,1
hoodwink'd,2
gather,26
inform,23
secrets,27
purposes,39
faithfully,13
damn,17
acordo,1
linta,1
granted,30
guarded,33
alarum,70
woodcock,7
muffled,8
ourselves-,1
safely,26
lock'd,22
fontibell,1
titled,2
o'that,1
barely,4
prick,31
vow'd,14
high'st,2
jove's,17
attributes,3
holding,26
conditions,30
unseal'd-,1
opinion,87
holy-cruel,1
integrity,19
crafts,3
recovers,3
ropes,3
scarre,1
'longing,2
ancestors,21
obloquy,4
chastity's,2
proper,64
champion,15
knock,68
conquer'd,9
future,13
sat,32
braid,2
think't,2
cozen,6
unjustly,8
deliv'red,1
chang'd,25
shaking,13
incurred,1
everlasting,22
tun'd,1
perverted,1
renown,23
fleshes,1
monumental,3
unchaste,4
rebellion,28
merely,28
treasons,20
reveal,6
attain,9
abhorr'd,9
ends,52
contrives,2
nobility,36
o'erflows,4
damnable,11
trumpeters,2
company,213
dieted,5
apace,28
anatomiz'd,3
curiously,4
meddle,19
whip,36
meantime,33
overture,6
altogether,25
pretence,9
undertaking,4
austere,4
sanctimony,3
accomplish'd,7
residing,3
tenderness,13
became,24
justified,4
confirm'd,10
rector,1
confirmations,2
arming,5
verity,10
heartily,38
he'll,84
mightily,16
acquir'd,1
encount'red,13
web,12
mingled,17
yarn,2
crimes,19
cherish'd,6
where's,69
street,98
offered,8
needful,31
tartness,2
dispatch'd,17
sixteen,12
month's,2
apiece,3
abstract,5
congied,1
nearest,12
mourn'd,3
returning,6
entertain'd,10
convoy,7
parcels,9
nicer,1
difficulty,3
departure,21
hereafter,53
dialogue,7
module,2
deceiv'd,31
double-meaning,1
prophesier,1
[exeunt,67
stocks,22
usurping,16
weeps,41
wench,70
milk,25
confess'd,17
morgan,4
supposes,3
friar,107
confession,17
hoodman,1
portotartarossa,1
tortures,5
pinch,26
pasty,2
bosko,1
chimurcho,1
boblibindo,1
chicurmurco,1
merciful,20
'first,2
unserviceable,1
scattered,4
commanders,8
rogues,20
sacrament,8
all's,33
past-saving,1
militarist-that,1
phrase-that,1
theoric,3
knot,29
chape,1
dagger,40
keeping,20
wearing,18
neatly,1
'five,1
horse',1
said-i,1
true-,6
'or,1
thereabouts',1
con,6
'poor,6
rogues',1
truth's,3
truth-the,1
marvellous,19
'demand,1
a-foot,11
fifty,29
sebastian,19
corambus,1
guiltian,1
cosmo,1
lodowick,5
gratii,1
chitopher,1
vaumond,1
bentii,1
muster-file,1
amounts,3
fifteen,16
poll,5
cassocks,1
pieces,37
condition,57
'you,11
dumain,13
expertness,2
well-weighing,1
inter'gatories,2
singly,5
botcher's,2
prentice,3
shrieve's,1
child-a,1
innocent,56
tile,2
florence's,1
lousy,8
pocket,33
sadness,24
tent,102
excellently,6
'dian,1
advertisement,4
allurement,1
ruttish,1
behalf,45
whale,8
devours,5
fry,8
both-sides,1
rogue,78
scores,2
after-debts,1
mell,1
army,96
forehead,23
devoted,7
manifold,7
linguist,2
amnipotent,1
cat,35
general's,8
remainder,10
dungeon,8
anywhere,6
answer'd,32
egg,15
cloister,6
rapes,3
ravishments,1
nessus,2
professes,8
hercules,35
volubility,2
drunkenness,3
swine-drunk,1
bedclothes,1
straw,19
description,18
tragedians-to,1
belie,10
not-and,1
soldier-ship,1
mile-end,2
doubling,2
files-i,1
can-but,1
out-villain'd,1
villainy,49
rarity,5
redeems,3
price,33
cardecue,2
fee-simple,5
salvation,6
inheritance,13
entail,3
remainders,2
perpetually,4
nest,27
excels,7
reputed,10
retreat,24
outruns,3
lackey,8
cramp,3
drumming,2
drums,37
supposition,4
traitorously,4
discover'd,6
pestiferous,2
headsman,2
[unmuffling,1
greeting,23
sonnet,9
compel,9
crush'd,3
women,170
received,27
impudent,9
nation,29
burst,31
braggart,9
rust,12
safest,8
fool'd,2
fool'ry,4
wrong'd,27
christian,71
surety,21
fore,30
throne,67
kneel,64
gratitude,4
flinty,12
tartar's,3
'thanks,4
duly,8
hies,7
aiding,2
daughter's,15
helper,2
trusting,6
cozen'd,9
defiles,2
pitchy,5
loathes,5
instructions,8
impositions,1
briers,9
waggon,4
revives,4
fine's,1
whate'er,18
misled,10
snipt-taffeta,1
villainous,23
saffron,4
unbak'd,1
doughy,1
advanc'd,11
red-tail'd,1
humble-bee,6
partaken,1
owed,7
rooted,7
sallets,3
herb,9
sweet-marjoram,1
sallet,3
sallet-herbs,1
nose-herbs,1
nebuchadnezzar,1
grass,25
thyself-a,1
bauble,8
prince,409
fisnomy,1
hotter,7
alias,3
talk'st,6
woodland,1
narrow,17
chill,6
flow'ry,4
look'd,76
tricks,33
jades',1
unhappy,40
sauciness,6
lady's,42
moved,32
minority,5
self-gracious,1
propose,10
conceived,3
fitter,11
ladyship,38
happily,30
post,62
number'd,3
rejoices,3
tal,1
yonder's,5
patch,14
velvet,17
pile,9
liv'ry,1
belike,43
carbonado'd,2
dozen,34
delicate,30
hats,8
courteous,22
nod,18
exceeding,27
requital,7
unroot,1
goaded,2
occasions,18
nice,32
petition,24
remov'd,11
unfit,10
thank'd,6
inner,1
lavache,1
familiarity,3
muddied,3
fortune's,28
mood,22
somewhat,18
speak'st,28
henceforth,42
butt'ring,1
spake,52
metaphor,4
stink,5
foh,8
close-stool,2
nobleman,24
pur,1
musk-cat,1
fishpond,1
carp,3
ingenious,10
rascally,10
distress,17
similes,5
cruelly,5
scratch'd,4
pare,4
nails,31
scratch,19
justices,9
penny,23
ha't,4
cox,1
sooth,44
[trumpets,5
sound],4
inquire,13
lack'd,11
estimation,21
natural,58
blaze,10
reason's,5
o'erbears,1
burns,30
forgiven,6
revenges,15
watch'd,13
astonish,3
richest,8
scorn'd,10
reconcil'd,5
repetition,10
deeper,15
incensing,1
offender,10
reference,5
sunshine,9
hail,71
brightest,4
distracted,14
high-repented,1
blames,3
quick'st,1
inaudible,1
noiseless,2
stuck,21
infixing,1
warp'd,1
express'd,11
stol'n,39
extended,5
proportions,6
prais'd,14
excus'd,8
compt,4
remorseful,4
slowly,6
sender,4
'that's,2
trivial,7
displeasures,2
destroy,28
shameful,18
sleeps,37
afternoon,27
helen's,5
knell,12
maudlin,1
consents,6
widower's,1
marriage-day,2
cesse,1
house's,3
digested,6
sparkle,5
ring],5
fasten'd,3
necessitied,1
relieve,15
craft,20
reave,2
stead,16
pleases,19
reckon'd,4
thrown,35
wrapp'd,8
contain'd,3
engag'd,7
subscrib'd,2
fully,14
ceas'd,3
satisfaction,33
plutus,2
tinct,4
multiplying,4
med'cine,6
science,2
enforcement,7
saints,14
bed-,5
come-,3
mak'st,19
conjectural,2
inhuman-,1
not-,19
deadly,57
close,116
seize,34
fore-past,1
proofs,14
vanity,21
fear'd,42
sift,3
husbanded,4
dismal,21
thinkings,3
removes,3
undertook,5
vanquish'd,9
thereto,19
suppliant,5
importing,8
verbal,4
concern,11
[reads,3
'upon,1
protestations,2
widower,4
seducer,1
flourishes,4
son-in-law,11
toll,2
heavens,156
discov'ry,1
suitors,19
afeard,28
foully,4
snatch'd,6
doers,5
sith,22
wives,59
derived,3
ancient,83
capilet,2
complaint,13
heaven's,25
embodied,1
marries,3
desp'rate,6
laugh'd,18
sink,37
say'st,48
gamester,8
o,7
validity,5
parallel,6
commoner,2
preceding,3
gem,5
conferr'd,2
testament,12
ow'd,5
ring's,1
loath,30
name's,3
quoted,5
perfidious,5
spots,11
sickens,2
utter,41
lik'd,6
boarded,7
angle,9
eagerness,1
fancy's,8
motives,6
subdu'd,11
inferior,9
market-price,1
turn'd,65
justly,32
diet,18
husband-,1
abed,7
boggle,1
feather,24
starts,17
sirrah-but,1
off-,2
equivocal,2
naughty,15
orator,14
her-for,1
talk'd,16
satan,8
limbo,4
furies,4
motions,13
evidence,11
glove,38
tell'st,10
customer,2
jove,77
accus'd,15
strumpet,26
[pointing,5
jeweller,2
abus'd,21
harm'd,4
quit,50
defil'd,6
feels,10
kick,3
riddle,10
quick-,1
exorcist,2
beguiles,5
truer,17
real,3
doubly,8
clearly,5
divorce,22
step,30
onions,2
tom,22
handkercher,3
curtsies,8
flow,29
beest,11
uncropped,1
kept'st,1
-,187
resolvedly,1
omnes,4
triumvirs,1
antony,213
pompey,80
lieutenant-general,2
ventidius's,1
ambassador,23
attendant,23
cleopatra,30
egypt,45
roman,110
alexandria,25
dotage,10
files,7
musters,5
glow'd,1
plated,2
devotion,17
tawny,9
captain's,6
scuffles,1
fights,18
buckles,4
reneges,1
temper,36
bellows,2
gipsy's,1
train,72
fanning,4
pillar,5
transform'd,6
beggary,10
bourn,9
belov'd,21
rome,330
grates,2
fulvia,14
scarce-bearded,1
pow'rful,4
mandate,4
'do,5
enfranchise,4
perform't,2
dismission,2
fulvia's,4
caesar's,30
egypt's,3
blushest,1
homager,1
shrill-tongu'd,2
scolds,2
tiber,8
melt,33
arch,10
rang'd,3
dungy,2
nobleness,16
[emhracing],1
pair,44
do't,56
punishment,24
weet,1
peerless,9
stirr'd,10
conference,33
ambassadors,13
fie,157
becomes-,1
admir'd,9
wander,23
streets,53
people,204
antonius,7
priz'd,5
speaks,135
alexas,9
absolute,34
soothsayer,9
garlands,10
secrecy,15
wine,87
cleopatra's,8
foresee,6
paint,18
prescience,4
attentive,6
beloving,1
liver,18
drinking,27
forenoon,2
herod,6
jewry,7
octavius,24
figs,4
names,52
wenches,27
fertile,15
million,15
witch,43
sheets,19
privy,15
iras,9
palm,28
presages,5
chastity,27
o'erflowing,1
nilus,4
presageth,2
bedfellow,12
soothsay,1
oily,4
fruitful,16
prognostication,2
worky-day,1
inch,20
husband's,33
alexas-,1
isis,8
laughing,14
fiftyfold,1
prayer,38
heartbreaking,1
loose-wiv'd,1
uncuckolded,1
decorum,3
whores,8
they'ld,2
dispos'd,17
mirth,61
sudden,82
enobarbus,14
lucius,101
time's,16
jointing,1
drave,4
infects,7
teller,1
tale,113
flatter'd,7
labienus-,1
stiff,13
news-,3
parthian,5
asia,4
euphrates,1
conquering,6
banner,5
syria,7
lydia,2
ionia,1
whilst-,1
mince,5
rail,31
taunt,7
licence,4
earing,1
sicyon,2
sicyon-,1
egyptian,12
fetters,2
importeth,2
[gives,12
contempts,3
hurl,10
low'ring,1
opposite,26
shov'd,2
enchanting,8
harms,19
idleness,14
hatch,9
compelling,1
occasion,73
catching,11
instantly,25
mettle,27
celerity,7
finest,3
storms,18
almanacs,1
show'r,7
wonderful,24
piece,95
discredited,2
sacrifice,24
pleaseth,18
deities,5
tailors,6
comforting,4
robes,20
members,10
lamented,6
crown'd,33
consolation,2
petticoat,7
onion,2
broached,3
broach'd,6
wholly,6
abode,9
notice,32
expedience,4
urgent,2
contriving,3
sextus,5
pompeius,3
slippery,8
link'd,4
deserver,2
dignities,15
courser's,2
serpent's,6
method,7
fool-,1
tempt,31
purpose-,4
charmian,24
queen-,9
here-,6
know-,9
betray'd,17
planted,9
cleopatra-,2
riotous,10
entangled,2
mouth-made,1
sued,5
staying,12
brows',1
inches,11
swords,75
equality,2
domestic,8
scrupulous,2
faction,22
newly,32
condemn'd,25
creeps,7
thrived,2
threaten,12
quietness,7
safe,84
childishness,3
garboils,2
vials,4
sorrowful,5
quickens,2
nilus',2
slime,5
affects,11
well-,7
scene,213
dissembling,14
meetly,1
sword-,1
target,6
mends,2
herculean,1
carriage,21
chafe,5
part-,4
lov'd-,1
would-,2
royalty,24
sweating,10
becomings,1
laurel,3
victory,56
smooth,39
feet,59
abides,8
lepidus,27
competitor,4
fishes,12
lamps,8
revel,16
manlike,1
ptolemy,3
womanly,3
audience,34
vouchsaf'd,2
partners,6
enow,10
darken,6
night's,17
blackness,4
hereditary,8
purchas'd,12
chooses,4
indulgent,1
tumble,8
tippling,1
reel,3
buffet,4
sweat,42
him-,26
composure,3
blemish-,1
foils,9
lightness,8
fill'd,24
vacancy,4
voluptuousness,2
surfeits,8
dryness,1
ours-,2
chid,20
mature,7
pawn,26
biddings,1
abroad,62
ports,11
discontents,7
men's,65
primal,2
ebb'd,2
dear'd,1
flag,7
lackeying,1
tide,55
rot,20
menecrates,1
menas,9
pirates,15
keels,1
inroads,1
borders,1
maritime,1
flush,3
pompey's,4
resisted,5
wassails,2
modena,1
slew'st,1
hirtius,1
pansa,1
consuls,7
fought'st,1
daintily,2
savages,3
stale,29
puddle,3
beasts,35
cough,5
deign,7
roughest,2
berry,3
rudest,1
hedge,14
stag,6
pasture,12
barks,6
brows'd,1
alps,4
this-,8
wounds,93
now-,11
lank'd,1
thrives,5
furnish'd,16
stirs,20
partaker,3
ha,199
mandragora,2
gap,12
eunuch,14
mardian,4
highness',44
unseminar'd,1
freer,5
venus,25
think'st,36
wot'st,1
mov'st,3
demi-atlas,1
arm,147
burgonet,4
murmuring,4
'where's,1
nile,6
delicious,4
phoebus',7
pinches,5
wrinkled,14
broad-fronted,1
morsel,9
anchor,7
unlike,16
kiss'd-,1
doubled,8
kisses-,1
'good,12
'say,1
sends,41
oyster,7
opulent,2
nodded,2
soberly,1
mount,36
arm-gaunt,1
neigh'd,1
beastly,22
dumb'd,1
extremes,17
well-divided,1
seem'd,36
mingle,14
violence,18
met'st,3
posts,12
chok'd,10
emphasis,2
'the,33
paragon,9
salad,1
unpeople,4
messina,12
assist,22
justest,1
whiles,76
pow'rs,19
crescent,4
auguring,1
doors,64
gets,13
flatters,6
silvius,9
charms,23
soften,6
wan'd,1
witchcraft,16
libertine,4
fuming,1
epicurean,2
cooks,3
sharpen,1
cloyless,1
sauce,15
prorogue,4
lethe'd,1
dullness-,1
varrius,3
expected,10
surfeiter,1
donn'd,1
rear,12
stirring,23
ne'er-lust-wearied,1
trespasses,4
warr'd,2
mov'd,33
enmities,1
were't,12
pregnant,15
entertained,7
cement,4
divisions,4
be't,13
have't,8
strongest,8
jupiter,32
wearer,2
antonius',1
shave't,1
stomaching,1
matters,26
embers,2
compose,2
parthia,7
ventidius,11
maecenas,3
agrippa,10
combin'd,1
leaner,1
murder,98
healing,2
earnestly,9
curstness,1
arinies,1
sit],3
derogately,1
concern'd,1
was't,16
practise,20
you-,35
practis'd,9
intent,53
befall,28
contestation,1
theme,30
drew,39
discredit,5
laying,11
patch'd,8
excuses,8
partner,16
graceful,7
fronted,1
snaffle,1
uncurbable,1
impatience-,1
shrewdness,1
too-,5
grieving,6
disquiet,3
wrote,9
rioting,1
taunts,7
gibe,1
missive,1
feasted,5
wipe,27
article,19
talks,14
oath-,3
requir'd,8
penitent,14
stoop,34
ye-,2
atone,7
worthily,14
another's,15
wrangle,7
then-,6
considerate,2
dislike,16
diff'ring,1
hoop,6
stanch,2
octavia,23
reproof,20
rashness,10
brothers,74
unslipping,1
jealousies,11
dangers,22
tales,25
studied,16
ruminated,2
'agrippa,1
impediment,15
govern,29
bequeath,17
upon's,5
misenum,3
gladness,3
invite,20
sister's,7
stay'd,29
eight,36
boars,1
roasted,5
breakfast,16
twelve,47
eagle,24
noting,4
purs'd,1
river,25
cydnus,3
appear'd,14
reporter,1
devis'd,13
barge,12
burnish'd,2
burn'd,8
poop,2
sails,19
love-sick,4
oars,3
flutes,2
stroke,42
strokes,23
person,150
beggar'd,4
pavilion,8
cloth-of-gold,1
tissue,1
o'erpicturing,1
out-work,1
dimpled,5
cupids,3
divers-colour'd,1
fans,2
glow,7
undid,2
gentlewomen,8
nereides,1
mermaids,1
adornings,1
mermaid,5
steers,2
silken,17
tackle,6
swell,20
flower-soft,1
yarely,2
invisible,32
perfume,13
adjacent,2
wharfs,1
enthron'd,2
market-place,22
whistling,3
landing,2
supper,56
replied,9
entreated,12
'no',3
barber'd,1
ordinary,12
ploughed,2
cropp'd,6
hop,8
paces,7
panted,1
breathless,13
pow'r,29
utterly,8
wither,16
custom,46
variety,2
cloy,4
appetites,4
satisfies,1
priests,19
riggish,1
blemishes,3
can-,1
daemon,1
courageous,10
unmatchable,4
o'erpow'r'd,2
game,25
beats,24
odds,44
lustre,13
thickens,2
dice,10
sports,14
faints,9
lots,4
speeds,4
cocks,3
quails,2
inhoop'd,1
commission's,1
ready,154
receive't,2
generals,8
soldier's,10
conceive,27
shorter,6
music-,2
moody,14
trade,42
billiards,1
sore,50
play'd,40
though't,3
angle-,1
playing,23
tawny-finn'd,1
bended,7
hook,10
pierce,25
slimy,2
'ah,2
wager'd,2
angling,4
diver,1
fervency,1
ninth,7
mantles,1
philippan,1
ram,7
madam-,3
antony's,5
villain,246
kill'st,4
bluest,1
kiss-,2
lipp'd,1
trembled,5
ill-uttering,1
throat,51
healthful-,1
tart,4
trumpet,80
snakes,6
formal,11
will't,16
shower,3
pearls,13
'but,11
allay,12
precedence,2
yet',2
gaoler,17
malefactor,1
pack,22
infectious,6
pestilence,14
[strikes,7
down],15
horrible,25
spurn,27
unhair,1
[she,11
hales,3
wire,1
stew'd,4
smarting,2
ling'ring,12
pickle,3
province,4
[draws,2
knife],2
innocents,4
scape,31
thunderbolt,5
serpents,7
bite,40
afear'd,4
meaner,14
message,33
'yes,1
submerg'd,1
cistern,2
scal'd,1
narcissus,5
punish,21
unequal,5
merchandise,7
disprais'd,3
inclination,13
go-,3
charmian-,1
gorgon,2
way's,1
marching,23
hostages,4
considered,6
discontented,13
sicily,6
senators,43
factors,1
revengers,1
julius,16
philippi,17
brutus,170
ghosted,1
cassius,87
all-honour'd,1
courtiers,10
drench,5
capitol,48
rig,1
navy,8
anger'd,3
foams,3
scourge,16
ingratitude,21
o'er-count,2
builds,6
us-,5
present-,2
offers,18
embrac'd,11
larger,5
sardinia,1
measures,12
wheat,8
'greed,3
unhack'd,2
edges,3
targes,2
undinted,1
impatience,18
blows,76
liberal,28
beds,30
timelier,1
gained,2
casts,5
agreed,18
seal'd,17
lot,6
cookery,2
fat,70
meanings,4
apollodorus,1
carried-,1
mattress,1
far'st,2
envied,5
ha',20
plainness,12
aboard,35
galley,2
show's,1
treaty,6
thieves,48
whatsome'er,1
weep't,1
y'have,5
caesar',1
caius,50
marcellus,12
marcus,54
unity,8
prophesy,20
parties,14
strangler,1
dish,37
author,15
variance,1
throats,24
board,20
plays,35
ill-rooted,1
high-colour'd,1
alms-drink,1
'no,17
reconciles,2
entreaty,12
raises,1
discretion,33
fellowship,16
lief,21
reed,3
partizan,1
heave,13
holes,8
pitifully,4
sennet,14
sounded,19
scales,9
pyramid,3
lowness,3
swells,10
ebbs,6
seedsman,1
ooze,6
scatters,3
grain,17
shortly,49
operation,6
crocodile,5
sit-,1
certainly,26
ptolemies',1
pyramises,1
contradiction,5
[,13
whispers,13
],516
anon-,2
shap'd,5
moves,26
organs,7
nourisheth,2
transmigrates,1
epicure,1
stool,13
[rises,2
aside],9
jolly,10
quicksands,1
pales,4
inclips,1
world-sharers,1
competitors,5
cable,4
thee't,1
desist,4
pall'd,1
offer'd,16
ashore,12
pledge,22
see'st,3
wheels,9
reels,3
alexandrian,2
ripens,3
vessels,5
forbear't,1
it's,28
fouler,9
possess,32
emperor,85
bacchanals,2
celebrate,6
steep'd,8
lethe,6
battery,9
volley,4
[music,7
hand],2
vine,9
plumpy,1
bacchus,2
pink,3
eyne,13
fats,1
drown'd,36
round,87
graver,7
burnt,24
enobarb,1
weaker,14
splits,3
antick'd,1
give's,2
house-,2
cabin,11
neptune,12
hang'd,55
[sound,6
drums],2
hoo,5
romans,56
darting,1
crassus',1
revenger,1
pacorus,1
orodes,1
crassus,2
fugitive,3
parthians,1
media,2
mesopotamia,1
shelters,1
routed,1
chariots,3
silius,3
acquire,3
serve's,1
sossius,1
lieutenant,47
accumulation,1
achiev'd,7
darkens,1
grants,3
signify,25
magical,1
banners,9
well-paid,1
ne'er-yet-beaten,1
jaded,3
purposeth,2
athens,78
with's,2
sealing,3
troubled,38
adores,2
nonpareil,5
arabian,4
'caesar'-,1
plied,1
scribes,2
bards,1
number-,1
shards,2
beetle,5
batter,3
fortress,3
distrust,6
april's,2
cheerful,18
and-,7
tongue-,2
swan's,3
inclines,1
cried,74
roaring,25
wept,34
rheum,14
wail'd,3
believe't-,1
out-go,1
wrestle,6
[kisses,7
herod's,2
dread,53
low-voic'd,1
dwarfish,5
look'dst,2
station,7
statue,19
breather,3
perceive't,1
faultiness,1
brown,21
employ,22
harried,1
creature's,3
defend,73
that-,5
excusable,1
thousands,18
semblable,5
import-,1
wag'd,3
scandy,1
vented,2
hint,8
took't,2
division,23
praying,8
prays,20
mid-way,3
'twixt,49
branchless,1
requested,3
between's,6
raise,50
soonest,6
reconciler,1
cleave,11
solder,1
rift,3
equally,11
meeting,59
eros,27
rivality,1
resting,4
accuses,2
seizes,3
enlarge,8
chaps-,1
walking,17
garden-,1
spurns,7
'fool,2
threats,16
murd'red,8
navy's,1
rigg'd,3
domitius,2
naught,28
contemning,3
of't,2
tribunal,2
silver'd,2
chairs,6
publicly,10
caesarion,2
stablishment,1
cyprus,28
show-place,1
exercise,20
proclaim'd,13
armenia,2
alexander,20
assign'd,3
cilicia,1
phoenicia,1
habiliments,4
queasy,3
insolence,14
accusations,6
spoil'd,7
rated,16
isle,40
shipping,5
unrestor'd,1
lastly,9
frets,8
triumvirate,1
depos'd,17
revenue,18
cast-away,1
usher,4
neighs,5
fainted,3
ascended,2
populous,6
market-maid,1
ostentation,8
unshown,1
unlov'd,2
supplying,1
augmented,3
constrain'd,9
begg'd,23
obstruct,1
'tween,11
wronged,20
whore,46
levying,2
assembled,10
bocchus,1
libya,3
archelaus,1
cappadocia,1
philadelphos,1
paphlagonia,1
thracian,5
adallas,1
manchus,1
arabia,5
pont,1
mithridates,1
comagene,1
polemon,1
amyntas,1
mede,1
lycaonia,1
sceptres,5
afflict,14
withhold,10
perceiv'd,6
negligent,7
necessities,12
determin'd,15
unbewail'd,1
adulterous,2
abominations,2
potent,19
trull,4
noises,4
dear'st,5
actium,3
forspoke,1
denounc'd,2
reply,24
mares,2
puzzle,1
from's,3
spar'd,4
photinus,1
maids,47
manage,26
president,1
canidius,5
tarentum,1
brundusium,1
ionian,1
toryne,2
rebuke,20
becom'd,2
slackness,2
dar'd,7
wage,7
pharsalia,1
ships,30
mann'd,5
mariners,6
muleteers,2
reapers,1
ingross'd,1
impress,6
fleet,25
yare,10
refusing,3
distract,10
consist,5
war-mark'd,1
footmen,1
unexecuted,1
renowned,34
forgo,7
assurance,31
security,16
sixty,4
full-mann'd,1
approaching,5
descried,6
impossible-,2
nineteen,3
ship,57
thetis,3
planks,2
egyptians,3
phoenicians,1
a-ducking,1
conquer,21
fighting,19
leader's,2
women's,17
justeius,1
publicola,2
caelius,1
belief,14
distractions,2
beguil'd,13
taurus,4
throes,4
prescript,2
scroll,14
squadrons,3
yon,28
marcheth,4
sea-fight,3
antoniad,1
admiral,6
rudder,2
see't,14
blasted,12
goddesses,4
synod,6
cantle,2
kiss'd,22
provinces,6
token'd,1
ribaudred,1
nag,2
egypt-,1
leprosy,4
o'ertake,6
midst,14
twins,4
elder-,1
breese,1
cow,7
june-,1
hoists,1
beheld,35
loof'd,1
magic,12
claps,6
sea-wing,1
mallard,1
manhood,30
violate,6
lamentably,2
thereabouts,3
peloponnesus,1
yielding,19
upon't,21
lated,2
laden,4
instructed,6
cowards,30
shoulders,34
treasure's,1
harbour,19
follow'd,23
mutiny,28
reprove,7
sweep,12
loathness,3
sea-side,5
[sits,1
following,56
empress,27
dancer,2
dealt,8
lieutenantry,2
squares,2
unqualitied,1
head's,5
declin'd,5
reputation-,1
unnoble,1
'stroy'd,1
knew'st,7
strings,12
tow,1
supremacy,5
beck,4
treaties,1
dodge,1
palter,4
bulk,16
marring,3
conqueror,22
rates,5
repays,3
schoolmaster,15
viands,7
pluck'd,30
pinion,2
moons,9
morn-dew,1
myrtle,4
leaf,15
declare,7
salutes,6
lessens,2
requests,14
sues,5
submits,1
craves,27
circle,14
ptolemies,1
heirs,21
hazarded,2
all-disgraced,1
perform,42
unheard,3
bands,14
perjure,2
ne'er-touch'd,1
vestal,6
thyreus,2
edict,10
flaw,6
ranges,3
frighted,16
itch,7
nick'd,1
captainship,2
oppos'd,7
mered,1
flying,19
flags,3
grizzled,2
principalities,1
coin,20
coward's,1
prevail,22
comparisons,8
apart,28
high-battled,1
unstate,2
stag'd,1
sworder,2
emptiness,3
loyalty,24
allegiance,26
earns,1
boldly,18
renown'd,3
entreats,14
stand'st,14
scars,16
constrained,3
leaky,2
sinking,5
begs,7
desir'd,19
staff,40
shroud,13
universal,14
landlord,3
deputation,5
conquring,1
prompt,13
all-obeying,1
noblest,19
combating,3
mus'd,1
bestow'd,11
rain'd,4
thunders,10
performs,2
fullest,1
kite,7
devils,39
melts,7
'ho,1
muss,1
'your,7
jack,77
lion's,15
whelp,8
tributaries,2
cringe,1
whine,2
antony-,4
tug,4
errand,18
pillow,20
unpress'd,1
forborne,1
feeders,3
lord-,34
boggler,1
viciousness,1
hard-,2
seel,3
filth,10
strut,4
confusion,33
trencher,9
fragment,3
cneius,1
unregist'red,1
luxuriously,1
pick'd,10
temperance,10
rewards,10
'god,14
playfellow,7
plighter,1
basan,1
outroar,1
horned,4
civilly,1
halter'd,1
hangman,16
soundly,23
disdainful,9
harping,2
empty,53
orbs,6
fires,24
mislike,5
hipparchus,1
enfranched,1
bondman,9
stripes,4
terrene,2
eclips'd,2
portends,3
ties,3
cold-hearted,1
engender,1
source,6
determines,3
dissolve,9
smite,2
degrees,18
discandying,1
pelleted,2
storm,57
graveless,1
gnats,7
satisfied,49
oppose,19
threat'ning,17
sea-like,1
earn,8
treble-sinew'd,1
hearted,6
breath'd,19
maliciously,3
lucky,6
jests,17
captains,16
bowls,3
birthday,1
t'have,1
pestilent,7
outstare,2
lightning,31
furious,15
peck,11
estridge,1
diminution,2
restores,1
preys,5
chides,11
rods,3
personal,14
combat,29
ruffian,16
challenge,51
falling,25
battles,18
earn'd,5
bathe,7
woo't,2
'take,2
household,17
meal,9
servitors,4
odd,33
clapp'd,11
scant,9
cups,9
suffer'd,22
followers,48
period,17
mangled,13
discomfort,8
onion-ey'd,1
transform,7
hearty,10
dolorous,1
torches,17
expect,36
victorious,15
consideration,8
determine,26
soldiers],2
[the,31
companies,11
separate,4
corner,16
stage],2
landmen,1
hautboys,11
watchmen,4
masters,107
[speaking,2
together],2
armour,49
chuck,7
iron,47
armourer,7
la,60
defences,4
briefly,21
buckled,7
rarely,14
unbuckles,1
daff't,1
fumblest,1
queen's,29
squire,16
tight,3
occupation,9
armed,41
good-morrow,4
look'st,11
betime,6
riveted,3
trim,21
[shout,3
lads,25
betimes,24
dame,32
rebukeable,1
mechanic,3
compliment,11
retire,44
gallantly,3
prevail'd,22
revolted,12
chests,6
jot,24
subscribe-,1
adieus,2
corrupted,21
prosp'rous,2
three-nook'd,1
olive,6
vant,1
incline,10
casaer,1
unloading,1
mules,4
saf'd,1
bringer,3
done't,11
continues,12
turpitude,2
swifter,14
outstrike,1
ditch,6
foul'st,2
camps,8
alarums,23
droven,1
clouts,3
bleed'st,2
beat'em,1
bench-holes,1
scotches,1
backs,21
snatch,11
hares,4
maul,2
runner,1
sprightly,6
tenfold,2
gests,1
see's,1
spill,6
escap'd,5
doughty-handed,1
hectors,2
clip,10
feats,14
joyful,31
congealment,1
gashes,6
hand-,7
fairy,48
chain,65
attire,12
harness,6
pants,4
triumphing,4
com'st,18
snare,10
uncaught,2
nightingale,10
girl,55
nourishes,1
goal,4
favouring,2
warrior-,1
mankind,19
destroyed,2
carbuncled,1
